payment_id,amount,date,customer_ref,vendor
pay_1000,4269.71,2026-08-08,ORD-8001,Flipkart Internet
pay_1001,11161.62,2026-08-18,ORD-8002,Swiggy
pay_1002,669.42,2026-08-03,ORD-8003,Flipkart Internet
pay_1003,9109.48,2026-08-18,ORD-8004,Zomato
pay_1004,3461.74,2026-08-19,ORD-8005,Zomato
pay_1005,12125.93,2026-08-23,ORD-8006,Myntra Designs
pay_1006,2500.25,2026-08-25,ORD-8007,Nykaa E-Retail
pay_1007,5822.3,2026-08-12,ORD-8008,BigBasket
pay_1008,12145.31,2026-08-24,ORD-8009,BigBasket
pay_1009,14602.09,2026-08-13,ORD-8010,Ola Cabs
pay_1010,12475.02,2026-08-20,ORD-8011,Flipkart Internet
pay_1011,10627.37,2026-08-02,ORD-8012,BigBasket
pay_1012,12858.56,2026-08-04,ORD-8013,Zomato
pay_1013,9607.77,2026-08-12,ORD-8014,Nykaa E-Retail
pay_1014,3299.91,2026-08-09,ORD-8015,Swiggy
pay_1015,2732.02,2026-08-24,ORD-8016,Flipkart Internet
pay_1016,5815.32,2026-08-21,ORD-8017,Zomato
pay_1017,4998.71,2026-08-25,ORD-8018,Uber India
pay_1018,674.12,2026-08-11,ORD-8019,Amazon Seller Services
pay_1019,3321.76,2026-08-19,ORD-8020,Nykaa E-Retail
pay_1020,7588.12,2026-08-21,ORD-8021,BigBasket
pay_1021,2265.67,2026-08-24,ORD-8022,Ola Cabs
pay_1022,11255.55,2026-08-14,ORD-8023,Uber India
pay_1023,3445.17,2026-08-05,ORD-8024,PharmEasy
pay_1024,11385.33,2026-08-04,ORD-8025,Uber India
pay_1025,10270.8,2026-08-20,ORD-8026,Swiggy
pay_1026,9018.74,2026-08-15,ORD-8027,Flipkart Internet
pay_1027,12939.4,2026-08-01,ORD-8028,Uber India
pay_1028,4148.28,2026-08-21,ORD-8029,Flipkart Internet
pay_1029,6633.96,2026-08-15,ORD-8030,BigBasket
pay_1030,11476.8,2026-08-17,ORD-8031,Amazon Seller Services
pay_1031,9656.09,2026-08-20,ORD-8032,Flipkart Internet
pay_1032,11484.92,2026-08-18,ORD-8033,Zomato
pay_1033,4996.83,2026-08-01,ORD-8034,Uber India
pay_1034,12140.07,2026-08-08,ORD-8035,Flipkart Internet
pay_1035,14214.8,2026-08-03,ORD-8036,Amazon Seller Services
pay_1036,8083.58,2026-08-05,ORD-8037,Ola Cabs
pay_1037,2643.04,2026-08-17,ORD-8038,Swiggy
pay_1038,13947.85,2026-08-25,ORD-8039,PharmEasy
pay_1039,14928.21,2026-08-21,ORD-8040,Zomato
pay_1040,6881.45,2026-08-08,ORD-8041,BigBasket
pay_1041,510.33,2026-08-18,ORD-8042,Zomato
pay_1042,305.43,2026-08-23,ORD-8043,Zomato
pay_1043,13600.12,2026-08-11,ORD-8044,Amazon Seller Services
pay_1044,4320.74,2026-08-16,ORD-8045,Flipkart Internet
pay_1045,10905.34,2026-08-19,ORD-8046,Zomato
pay_1046,11812.15,2026-08-26,ORD-8047,PharmEasy
pay_1047,1633.67,2026-08-14,ORD-8048,Nykaa E-Retail
pay_1048,7111.43,2026-08-24,ORD-8049,BigBasket
pay_1049,6158.2,2026-08-11,ORD-8050,Amazon Seller Services
pay_1050,3014.28,2026-08-15,ORD-8051,Flipkart Internet
pay_1051,4321.75,2026-08-08,ORD-8052,Swiggy
pay_1052,12947.83,2026-08-18,ORD-8053,Flipkart Internet
pay_1053,14989.38,2026-08-01,ORD-8054,Flipkart Internet
pay_1054,6214.33,2026-08-16,ORD-8055,Flipkart Internet
pay_1055,2635.79,2026-08-01,ORD-8056,Zomato
pay_1056,11819.7,2026-08-10,ORD-8057,Nykaa E-Retail
pay_1057,10832.16,2026-08-05,ORD-8058,Nykaa E-Retail
pay_1058,14536.87,2026-08-19,ORD-8059,Zomato
pay_1059,4840.66,2026-08-02,ORD-8060,Uber India
pay_1060,13806.85,2026-08-17,ORD-8061,PharmEasy
pay_1061,1384.73,2026-08-06,ORD-8062,Swiggy
pay_1062,10192.82,2026-08-08,ORD-8063,Flipkart Internet
pay_1063,3843.23,2026-08-20,ORD-8064,Nykaa E-Retail
pay_1064,6403.95,2026-08-19,ORD-8065,Amazon Seller Services
pay_1065,14033.59,2026-08-07,ORD-8066,PharmEasy
pay_1066,6057.03,2026-08-22,ORD-8067,BigBasket
pay_1067,13949.4,2026-08-03,ORD-8068,Myntra Designs
pay_1068,14977.12,2026-08-04,ORD-8069,Amazon Seller Services
pay_1069,7686.6,2026-08-05,ORD-8070,Flipkart Internet
pay_1070,5668.37,2026-08-06,ORD-8071,BigBasket
pay_1071,4676.56,2026-08-26,ORD-8072,Ola Cabs
pay_1072,12292.96,2026-08-10,ORD-8073,Uber India
pay_1073,1907.46,2026-08-04,ORD-8074,Flipkart Internet
pay_1074,4369.27,2026-08-07,ORD-8075,Uber India
pay_1075,9586.36,2026-08-09,ORD-8076,BigBasket
pay_1076,13598.89,2026-08-02,ORD-8077,Uber India
pay_1077,4294.14,2026-08-01,ORD-8078,Flipkart Internet
pay_1078,14700.99,2026-08-06,ORD-8079,BigBasket
pay_1079,6529.19,2026-08-01,ORD-8080,Ola Cabs
pay_1080,13578.05,2026-08-18,ORD-8081,Flipkart Internet
pay_1081,8376.92,2026-08-14,ORD-8082,Amazon Seller Services
pay_1082,5596.21,2026-08-26,ORD-8083,Swiggy
pay_1083,10294.27,2026-08-22,ORD-8084,Amazon Seller Services
pay_1084,8485.84,2026-08-14,ORD-8085,Flipkart Internet
pay_1085,12996.03,2026-08-26,ORD-8086,PharmEasy
pay_1086,2853.72,2026-08-11,ORD-8087,Swiggy
pay_1087,2555.29,2026-08-23,ORD-8088,Nykaa E-Retail
pay_1088,772.16,2026-08-16,ORD-8089,Flipkart Internet
pay_1089,13793.01,2026-08-12,ORD-8090,Zomato
pay_1090,549.26,2026-08-07,ORD-8091,Myntra Designs
pay_1091,12992.29,2026-08-25,ORD-8092,Nykaa E-Retail
pay_1092,7738.71,2026-08-22,ORD-8093,Myntra Designs
pay_1093,1906.17,2026-08-09,ORD-8094,Uber India
pay_1094,765.24,2026-08-20,ORD-8095,Swiggy
pay_1095,11838.92,2026-08-14,ORD-8096,Nykaa E-Retail
pay_1096,5900.28,2026-08-19,ORD-8097,PharmEasy
pay_1097,10689.73,2026-08-01,ORD-8098,Zomato
pay_1098,10847.28,2026-08-24,ORD-8099,Uber India
pay_1099,1234.68,2026-08-22,ORD-8100,Zomato
pay_1100,10017.8,2026-08-04,ORD-8101,BigBasket
pay_1101,10069.68,2026-08-11,ORD-8102,Myntra Designs
pay_1102,2082.99,2026-08-14,ORD-8103,Nykaa E-Retail
pay_1103,8622.33,2026-08-13,ORD-8104,Nykaa E-Retail
pay_1104,4445.61,2026-08-14,ORD-8105,Uber India
pay_1105,4968.61,2026-08-15,ORD-8106,PharmEasy
pay_1106,7202.63,2026-08-26,ORD-8107,Ola Cabs
